Year,Word,ManSyl
2001,Nokia,3
2001,Sony,2
2001,BMW,5
2001,Palm,1
2001,Adobe,3
2001,Dell,1
2001,Oracle,3
2001,Ferrari,3
2001,Honda,2
2001,Canon,2
2001,Harry Potter,4
2001,Lord of the Rings,4
2001,Final Fantasy,5
2001,Tomb Raider,3
2001,Shrek,1
2001,Pearl Harbor,4
2001,Moulin Rouge,3
2001,Planet of the Apes,5
2001,American Pie 2,6
2001,The Fast and the Furious,7
2001,Beatles,2
2001,U2,2
2001,N Sync,2
2001,Backstreet Boys,3
2001,Linkin Park,3
2001,Pink Floyd,2
2001,Metallica,4
2001,Limp Bizkit,3
2001,Blink 182,5
2001,Enya,2
2001,CNN,3
2001,BBC,3
2001,New York Times,3
2001,MSNBC,5
2001,Washington Post,4
2001,Fox News,2
2001,CNET,2
2001,Associated Press,6
2001,Le Monde,2
2001,The Economist,5
2001,Anna Kournikova,6
2001,Tour de France,3
2001,Dale Earnhardt,3
2001,Wimbledon,3
2001,US Open,4
2001,British Open,4
2001,Lisa Harrison,5
2001,Melbourne Cup,3
2001,World Series,3
2001,New York Marathon,5
2001,Counterstrike,3
2001,The Sims,2
2001,Operation Flashpoint,5
2001,Moorhuhn Three,3
2001,Wolfenstein,2
2001,Commandos Two,4
2001,Empire Earth,4
2001,Max Payne,2
2001,Diablo 2,4
2001,FIFA 2002,6
2001,Britney Spears,3
2001,Pamela Anderson,6
2001,Jennifer Lopez,5
2001,Madonna,3
2001,Aaliyah,3
2001,Kylie Minogue,4
2001,Shakira,3
2001,Andrea Thompson,5
2001,Mariah Carey,5
2001,Loft Story,3
2001,Big Brother,3
2001,The Simpsons,3
2001,Survivor,3
2001,Gran Hermano,4
2001,South Park,2
2001,Friends,1
2001,Temptation Island,5
2001,Buffy the Vampire Slayer,8
2001,Charmed,1
2001,Amazon,3
2001,IKEA,3
2001,Toys R Us,3
2001,Walmart,2
2001,Circuit City,4
2001,Barnes & Noble,4
2001,Costco,2
2001,Bed Bath & Beyond,5
2001,Abercrombie & Fitch,6
2001,GNC,3
2001,Windows XP,4
2001,Xbox,2
2001,PlayStation Two,4
2001,GameCube,2
2001,Nokia 5510,7
2001,Internet Explorer,6
2001,Nokia 3310,7
2001,Gameboy Advance,4
2001,iPod,2
2001,Nokia 8310,7
2001,Morpheus,3
2001,Napster,2
2001,Gnutella,3
2001,Kazaa,2
2001,Audiogalaxy,6
2001,iMesh,2
2001,Limewire,3
2001,BearShare,2
2001,Aimster,2
2001,MP3Pro,4
2001,Nostradamus,4
2001,Osama bin Laden,6
2001,Eminem,3
2001,Michael Jackson,4
2001,Howard Stern,3
2001,George Harrison,4
2001,Josh Hartnett,3
2001,Bob Marley,3
2001,Michael Jordan,4
2002,David Beckham,4
2002,Ronaldo,3
2002,Kobe Bryant,4
2002,Zinedine Zidane,4
2002,Vince Carter,3
2002,Allen Iverson,5
2002,Serena Williams,5
2002,Tiger Woods,3
2002,Venus Williams,4
2002,Pokémon,3
2002,Snoopy,2
2002,Superman,3
2002,Batman,2
2002,Hello Kitty,4
2002,Barbie,2
2002,Garfield,2
2002,Santa Claus,3
2002,Easter Bunny,4
2002,The Osbournes,3
2002,SpongeBob SquarePants,4
2002,Anna Nicole Show,5
2002,The Sopranos,4
2002,American Idol,5
2002,Popstars,2
2002,EastEnders,3
2002,GTA 3,4
2002,Warcraft 3,3
2002,Jedi Knight 2,4
2002,Morrowind,3
2002,Neverwinter Nights,5
2002,Dungeon Siege,3
2002,Carmen Electra,5
2002,Angelina Jolie,6
2002,Christina Aguilera,7
2002,Natalie Portman,5
2002,Spiderman,3
2002,Star Wars,2
2002,Jackass,2
2002,Scooby Doo,3
2002,Die Another Day,5
2002,8 Mile,2
2002,Signs,1
2002,The Ring,2
2002,World Cup,2
2002,Iraq,2
2002,Sniper,2
2002,Hurricane Lili,5
2002,Hochwasser,3
2002,Las Ketchup,3
2002,WorldCom,2
2002,Winter Olympics,5
2002,Isla Perejil,5
2002,MP3,3
2002,SMS,3
2002,WinZip,2
2002,Linux,2
2002,FTP,3
2002,RealPlayer,3
2002,Microsoft,3
2002,Java,2
2002,Paris,2
2002,Canada,3
2002,New York,2
2002,India,3
2002,Las Vegas,3
2002,Australia,3
2002,Hawaii,3
2002,Japan,2
2002,Cuba,2
2002,London,2
2002,Nelly,2
2002,2Pac,2
2002,Korn,1
2002,Ja Rule,2
2002,Brad Pitt,2
2002,Vin Diesel,3
2002,Elijah Wood,4
2002,Marilyn Manson,5
2002,Disney,2
2002,Ryanair,2
2002,Porsche,1
2002,HP,2
2003,Manga,2
