Year,Word
2001,Nokia
2001,Sony
2001,BMW
2001,Palm
2001,Adobe
2001,Dell
2001,Oracle
2001,Ferrari
2001,Honda
2001,Canon
2001,Harry Potter
2001,Lord of the Rings
2001,Final Fantasy
2001,Tomb Raider
2001,Shrek
2001,Pearl Harbor
2001,Moulin Rouge
2001,Planet of the Apes
2001,American Pie 2
2001,The Fast and the Furious
2001,Beatles
2001,U2
2001,N Sync
2001,Backstreet Boys
2001,Linkin Park
2001,Pink Floyd
2001,Metallica
2001,Limp Bizkit
2001,Blink 182
2001,Enya
2001,CNN
2001,BBC
2001,New York Times
2001,MSNBC
2001,Washington Post
2001,Fox News
2001,CNET
2001,Associated Press
2001,Le Monde
2001,The Economist
2001,Anna Kournikova
2001,Tour de France
2001,Dale Earnhardt
2001,Wimbledon
2001,US Open
2001,British Open
2001,Lisa Harrison
2001,Melbourne Cup
2001,World Series
2001,New York Marathon
2001,Counterstrike
2001,The Sims
2001,Operation Flashpoint
2001,Moorhuhn Three
2001,Wolfenstein
2001,Commandos Two
2001,Empire Earth
2001,Max Payne
2001,Diablo 2
2001,FIFA 2002
2001,Britney Spears
2001,Pamela Anderson
2001,Jennifer Lopez
2001,Madonna
2001,Aaliyah
2001,Kylie Minogue
2001,Shakira
2001,Anna Kournikova
2001,Andrea Thompson
2001,Mariah Carey
2001,Loft Story
2001,Big Brother
2001,The Simpsons
2001,Survivor
2001,Gran Hermano
2001,South Park
2001,Friends
2001,Temptation Island
2001,Buffy the Vampire Slayer
2001,Charmed
2001,Amazon
2001,IKEA
2001,Toys R Us
2001,Walmart
2001,Circuit City
2001,Barnes & Noble
2001,Costco
2001,Bed Bath & Beyond
2001,Abercrombie & Fitch
2001,GNC
2001,Windows XP
2001,Xbox
2001,PlayStation Two
2001,GameCube
2001,Nokia 5510
2001,Internet Explorer
2001,Nokia 3310
2001,Gameboy Advance
2001,iPod
2001,Nokia 8310
2001,Morpheus
2001,Napster
2001,Gnutella
2001,Kazaa
2001,Audiogalaxy
2001,iMesh
2001,Limewire
2001,BearShare
2001,Aimster
2001,MP3Pro
2001,Nostradamus
2001,Osama bin Laden
2001,Eminem
2001,Michael Jackson
2001,Howard Stern
2001,George Harrison
2001,Josh Hartnett
2001,Dale Earnhardt
2001,Bob Marley
2001,Michael Jordan
2002,David Beckham
2002,Anna Kournikova
2002,Ronaldo
2002,Kobe Bryant
2002,Zinedine Zidane
2002,Vince Carter
2002,Allen Iverson
2002,Serena Williams
2002,Tiger Woods
2002,Venus Williams
2002,The Simpsons
2002,Pokémon
2002,Snoopy
2002,Superman
2002,Batman
2002,Hello Kitty
2002,Barbie
2002,Garfield
2002,Santa Claus
2002,Easter Bunny
2002,The Simpsons
2002,Big Brother
2002,The Osbournes
2002,South Park
2002,SpongeBob SquarePants
2002,Anna Nicole Show
2002,The Sopranos
2002,American Idol
2002,Popstars
2002,EastEnders
2002,The Sims
2002,Counter Strike
2002,GTA 3
2002,Warcraft 3
2002,Jedi Knight 2
2002,Morrowind
2002,Diablo 2
2002,Neverwinter Nights
2002,Max Payne
2002,Dungeon Siege
2002,Britney Spears
2002,Pamela Anderson
2002,Jennifer Lopez
2002,Shakira
2002,Anna Kournikova
2002,Carmen Electra
2002,Angelina Jolie
2002,Christina Aguilera
2002,Natalie Portman
2002,Kylie Minogue
2002,Spiderman
2002,Harry Potter
2002,Star Wars
2002,Jackass
2002,Scooby Doo
2002,Die Another Day
2002,8 Mile
2002,Signs
2002,The Ring
2002,Lord of the Rings
2002,World Cup
2002,Iraq
2002,Sniper
2002,Hurricane Lili
2002,Hochwasser
2002,Las Ketchup
2002,WorldCom
2002,American Idol
2002,Winter Olympics
2002,Isla Perejil
2002,MP3
2002,SMS
2002,WinZip
2002,Linux
2002,FTP
2002,Dell
2002,Xbox
2002,RealPlayer
2002,Microsoft
2002,Java
2002,Paris
2002,Canada
2002,New York
2002,India
2002,Las Vegas
2002,Australia
2002,Hawaii
2002,Japan
2002,Cuba
2002,London
2002,Paris
2002,Canada
2002,New York
2002,India
2002,Las Vegas
2002,Australia
2002,Hawaii
2002,Japan
2002,Cuba
2002,London
2002,Eminem
2002,Shakira
2002,Madonna
2002,Nelly
2002,2Pac
2002,Linkin Park
2002,Korn
2002,Blink-182
2002,Ja Rule
2002,Metallica
2002,Eminem
2002,Brad Pitt
2002,David Beckham
2002,Josh Hartnett
2002,2Pac
2002,Nelly
2002,Vin Diesel
2002,Ronaldo
2002,Elijah Wood
2002,Marilyn Manson
2002,Ferrari
2002,Sony
2002,Nokia
2002,Disney
2002,IKEA
2002,Dell
2002,Ryanair
2002,Microsoft
2002,Porsche
2002,HP
2003,Manga
2003,Final Fantasy
2003,Sailor Moon
2003,Yu-Gi-Oh
2003,Dragon Ball Z
2003,InuYasha
2003,Goku
2003,Beyblade
2003,Zelda
2003,Digimon
2003,Earthquake
2003,California Earthquake
2003,Earthquakes
2003,Earthquake California
2003,California Earthquakes
2003,Caltech Earthquake
2003,USGS Earthquake
2003,Earthquake News
2003,San Simeon Earthquake
2003,Recent Earthquakes
2003,Eminem
2003,David Beckham
2003,Orlando Bloom
2003,Justin Timberlake
2003,50 Cent
2003,Tupac
2003,Brad Pitt
2003,Johnny Depp
2003,Marilyn Manson
2003,Vin Diesel
2003,Britney Spears
2003,Harry Potter
2003,Matrix
2003,Shakira
2003,David Beckham
2003,50 Cent
2003,Iraq
2003,Lord of the Rings
2003,Kobe Bryant
2003,Tour de France
2003,Iraq
2003,Laci Peterson
2003,Kobe Bryant
2003,Bertrand Cantat
2003,RIAA
2003,Jessica Lynch
2003,Michael Jackson
2003,Elizabeth Smart
2003,Korea
2003,Dixie Chicks
2003,The Simpsons
2003,Harry Potter
2003,Pokémon
2003,Spiderman
2003,Winnie the Pooh
2003,Hello Kitty
2003,Snoopy
2003,South Park
2003,Superman
2003,SpongeBob SquarePants
2003,Ferrari
2003,Sony
2003,BMW
2003,Disney
2003,Ryanair
2003,HP
2003,Dell
2003,easyJet
2003,Last Minute
2003,Walmart
2004,Ferrari
2004,BMW
2004,Lamborghini
2004,Nissan Skyline
2004,Porsche
2004,Mercedes
2004,Honda Civic
2004,Mustang
2004,Toyota Supra
2004,Mitsubishi Eclipse
2004,SCO
2004,Johnson & Johnson
2004,ING
2004,GE Aviation
2004,Fleet
2004,France
2004,China
2004,India
2004,Iraq
2004,Iran
2004,South Korea
2004,Japan
2004,Haiti
2004,Cuba
2004,Pakistan
2004,Spa
2004,Movies
2004,Nightclub
2004,Pub
2004,Zoo
2004,Pizza
2004,Sushi
2004,Bakery
2004,Chinese
2004,Italian
2004,Bikini
2004,Mini Skirt
2004,Prom Dresses
2004,Lingerie
2004,Little Black Dress
2004,Poncho
2004,T-Shirt
2004,Sports Bra
2004,Red Dress
2004,Low-Rise Jeans
2004,iPod
2004,Digital Camera
2004,MP3
2004,Xbox
2004,PlayStation 2
2004,Portable DVD Player
2004,Plasma TV
2004,Digital Camcorder
2004,PDA
2004,Electric Scooter
2004,Wallpaper
2004,Kazaa
2004,MP3
2004,Spybot
2004,Linux
2004,eBay
2004,Walmart
2004,MapQuest
2004,Amazon
2004,Home Depot
2004,Britney Spears
2004,Paris Hilton
2004,Christina Aguilera
2004,Pamela Anderson
2004,Carmen Electra
2004,Jennifer Lopez
2004,Angelina Jolie
2004,Avril Lavigne
2004,Beyoncé
2004,Hilary Duff
2004,The Simpsons
2004,Pokémon
2004,South Park
2004,Charmed
2004,SpongeBob SquarePants
2004,UGG Boots
2004,Puma
2004,Adidas
2004,Nike
2004,Aerosole
2004,Manolo Blahnik
2004,Steve Madden
2004,Birkenstock
2004,Dr. Martens
2004,Kenneth Cole
2004,Holiday Inn
2004,Hampton Inn
2004,Marriott
2004,Hilton
2004,Days Inn
2004,Sheraton
2004,Embassy Suites
2004,Motel 6
2004,Residence Inn
2004,Fairfield Inn
2004,Orlando Bloom
2004,Eminem
2004,Usher
2004,Johnny Depp
2004,Brad Pitt
2004,David Beckham
2004,50 Cent
2004,Bob Marley
2004,Justin Timberlake
2004,Michael Jackson
2004,Walmart
2004,Home Depot
2004,Best Buy
2004,Costco
2004,Walgreens
2004,Barnes & Noble
2004,Blockbuster Video
2004,Office Depot
2004,Kinko's
2004,Circuit City
2004,David Beckham
2004,Tour de France
2004,Euro 2004
2004,NBA
2004,Lance Armstrong
2004,NFL
2004,Boston Red Sox
2004,Cricket
2004,Chicago Cubs
2004,NY Yankees
2004,Louis Vuitton
2004,Nikon
2004,Canon
2004,Treo
2004,Tiffany
2004,Rolex
2004,Roomba
2004,Armani
2004,Aeron
2004,Ray-Ban
2004,Britney Spears
2004,Christina Aguilera
2004,Pamela Anderson
2004,Paris Hilton
2004,Carmen Electra
2004,Jennifer Lopez
2004,Angelina Jolie
2004,Beyoncé
2004,Avril Lavigne
2004,Hilary Duff
2004,Nicholas Berg
2004,Christopher Reeve
2004,Spalding Gray
2004,Marlon Brando
2004,Kenneth Bigley
2004,Britney Spears
2004,Paris Hilton
2004,Christina Aguilera
2004,Pamela Anderson
2004,Chat
2004,Games
2004,Carmen Electra
2004,Orlando Bloom
2004,Harry Potter
2004,MP3
2004,George W. Bush
2004,Janet Jackson
2004,John Kerry
2004,Britney Spears
2004,Saddam Hussein
2004,Kobe Bryant
2004,Michael Jackson
2004,Angelina Jolie
2004,Martha Stewart
2004,Clay Aiken
2004,The Simpsons
2004,Pokémon
2004,South Park
2004,Garfield
2004,Hello Kitty
2004,Winnie the Pooh
2004,SpongeBob SquarePants
2004,Finding Nemo
2004,Dragon Ball Z
2004,Tweety
2004,Poker Chips
2004,Airsoft Guns
2004,Mountain Bike
2004,Pocket Bike
2004,Night Vision Goggles
2004,Gas Scooter
2004,Running Shoes
2004,Tent
2004,Paintball
2004,Baseballs
2004,Tablet PC
2004,Computer
2004,Laptop
2004,Headphones
2004,Computer Speakers
2004,Notebook Computer
2004,GPS
2004,Webcam
2004,Wireless Speakers
2004,Flat Panel Monitor
2005,iPod
2005,Digital Camera
2005,MP3 Player
2005,iPod Mini
2005,PlayStation Portable
2005,Laptop
2005,Xbox
2005,iPod Shuffle
2005,Computer Desk
2005,iPod Nano
2005,Janet Jackson
2005,Hurricane Katrina
2005,Tsunami
2005,Xbox 360
2005,Brad Pitt
2005,Michael Jackson
2005,American Idol
2005,Britney Spears
2005,Angelina Jolie
2005,Harry Potter
2006,Janet Jackson
2006,Hurricane Katrina
2006,Tsunami
2006,Xbox 360
2006,Brad Pitt
2006,Michael Jackson
2006,American Idol
2006,Britney Spears
2006,Angelina Jolie
2006,Harry Potter
2006,Paul McCartney and Heather Mills
2006,Travis Barker and Shanna Moakler
2006,Britney Spears and Kevin Federline
2006,Whitney Houston and Bobby Brown
2006,Eminem and Kim Mathers
2006,Reese Witherspoon and Ryan Phillippe
2006,Heather Locklear and Richie Sambora
2006,Star Jones and Al Reynolds
2006,Anna Benson and Kris Benson
2006,Prince and Mayte Garcia
2006,World Cup Jerseys
2006,Zidane Jersey
2006,Buffalo Sabres Jersey
2006,Ronaldinho Jersey
2006,Italy Jersey
2006,Brazil Jersey
2006,Seahawks Jersey
2006,England Jersey
2006,USA Soccer Jersey
2006,Argentina Jersey
2006,Paris Hilton
2006,Orlando Bloom
2006,Cancer
2006,Podcasting
2006,Hurricane Katrina
2006,Bankruptcy
2006,Martina Hingis
2006,Autism
2006,2006 NFL Draft
2006,Celebrity Big Brother 2006
2006,Nicole Kidman and Keith Urban
2006,Tom Cruise and Katie Holmes
2006,Avril Lavigne and Deryck Whibley
2006,Campbell Brown and Dan Senor
2006,TomKat Wedding Photos
2006,Avril Wedding
2006,Tom Katie Wedding
2006,Cruise Holmes Wedding
2006,Wedding Crashers Rules
2006,Pamela Anderson and Kid Rock
2006,Where is Togo
2006,Where is Matt
2006,Where is Torino
2006,Where is Darfur
2006,Where is Villanova
2006,Where is Montenegro
2006,Where is Angola
2006,Where is .com au
2006,Where is Palestine
2006,Where is Dubai
2006,Who is Borat
2006,Who is Hezbollah
2006,Who is EU
2006,Who is Hot
2006,Who is Capote
2006,Who is V
2006,Who is Banksy
2006,Who is Muhammad
2006,Who is Buckethead
2006,Who is IP
2006,What is Hezbollah
2006,What is Carisoprodol
2006,What is Acyclovir
2006,What is Alprazolam
2006,What is Tramadol
2006,What is Ajax
2006,What is Hydrocodone
2006,What is Vicodin
2006,What is Xenical
2006,What is Xanax
2006,Bob Barker
2006,Bobby Bowden
2006,Sammy Sosa
2006,Tiki Barber
