Year,Word,ManSyl,length
2009,International Society Of Transport Aircraft Trading,16,51
2012,Obama vs. Romney Epic Rap Battles,11,33
2012,Facebook Parenting: For the Troubled Teen,10,41
2012,Felix Baumgartner's Supersonic Free Fall,11,40
2006,Reese Witherspoon and Ryan Phillippe,10,36
2009,Delhi Sustainable Development Summit,12,36
2012,A Dramatic Suprise on a Quiet Square,11,36
2006,Heather Locklear and Richie Sambora,10,35
2017,How to watch Mayweather vs McGregor,,35
2006,Britney Spears and Kevin Federline,9,34
2012,Why You Asking All Them Questions?,7,34
2007,Girlfriend Lyrics (Avril Lavigne),,33
2017,How to make solar eclipse glasses,10,33
2006,Paul McCartney and Heather Mills,8,32
2006,Travis Barker and Shanna Moakler,9,32
2006,Avril Lavigne and Deryck Whibley,9,32
2008,Heath Ledger & Michelle Williams,,32
2012,Kate Middleton Pictures Released,,32
2014,Francisco Guillermo Ochoa Magaña,,32
2006,Whitney Houston and Bobby Brown,8,31
2008,Sarah Silverman & Jimmy Kimmel,10,30
2008,Deanna Pappas & Jesse Csincsak,,30
2017,How to watch the solar eclipse,8,30
2018,Jurassic World: Fallen Kingdom,,30
2006,Nicole Kidman and Keith Urban,8,29
2008,Jennifer Aniston & John Mayer,10,29
2008,George Clooney & Sarah Larson,8,29
2008,Penn State Ohio State Rivalry,,29
2019,Once Upon a Time in Hollywood,9,29
2006,Campbell Brown and Dan Senor,7,28
2006,Pamela Anderson and Kid Rock,9,28
2012,Somebody That I Used to Know,8,28
2017,How to make a fidget spinner,7,28
2006,Anna Benson and Kris Benson,8,27
2006,Tom Cruise and Katie Holmes,6,27
2008,Hugh Hefner & Holly Madison,9,27
2008,Jessica Simpson & Tony Romo,10,27
2008,Michigan Ohio State Rivalry,,27
2017,India National Cricket Team,,27
2017,Baahubali 2: The Conclusion,,27
2006,Star Jones and Al Reynolds,6,26
2008,So You Think You Can Dance,6,26
2010,Blood Donation Restritions,,26
2017,Sicilian regional election,,26
2018,The Haunting of Hill House,,26
2007,Michael Jackson (Rumored),,25
2009,Nobel Prize Economia 2009,,25
2014,International Women's Day,8,25
2016,Captain America Civil War,,25
2017,How to freeze your credit,6,25
2017,British Columbia election,,25
2001,The Fast and the Furious,7,24
2001,Buffy the Vampire Slayer,8,24
2007,Eggplant Parmesan Recipe,8,24
2008,Taylor Swift & Joe Jonas,7,24
2008,Miley Cyrus & Nick Jonas,9,24
2008,Redskins Cowboys Rivalry,,24
2008,America's Next Top Model,8,24
2012,Here Comes Honey Boo Boo,6,24
2014,ALS Ice Bucket Challenge,8,24
2017,Kek tarifi (cake recipe),,24
2017,Look What You Made Me Do,6,24
2017,Georgia special election,,24
2017,Montana special election,,24
2006,Prince and Mayte Garcia,7,23
2007,Travis Barker (Rumored),,23
2007,Vince McMahon (Rumored),,23
2007,Ryan Sheckler (Rumored),,23
2008,Red Sox Yankees Rivalry,,23
2010,Doctors Without Borders,6,23
2012,Trayvon Martin shooting,6,23
2013,Eurovision Song Contest,,23
2017,FIFA Confederations Cup,,23
2017,The Fate of the Furious,7,23
2017,Spaghetti squash recipe,,23
2017,German federal election,,23
2018,Greve dos caminhoneiros,,23
2003,California Earthquakes,,22
2006,Eminem and Kim Mathers,7,22
2006,Wedding Crashers Rules,5,22
2007,Final Fantasy Ringtone,,22
2007,2007 Cricket World Cup,,22
2008,Lakers Celtics Rivalry,,22
2008,Georgia Auburn Rivalry,,22
2008,Alabama Auburn Rivalry,,22
2008,Notre Dame USC Rivalry,,22
2008,Dancing with the Stars,5,22
2010,Donate Blood Australia,,22
2011,Kim Kardashian Wedding,7,22
2013,Agents of S.H.I.E.L.D.,,22
2014,Neymar da Silva Santos,,22
2014,Philip Seymour Hoffman,6,22
2014,Gabriel Garcia Marquez,,22
2015,Straight Outta Compton,5,22
2015,Mayweather vs Pacquiao,6,22
2017,Mayweather vs McGregor,7,22
2017,Spongebob Mocking Meme,,22
2017,Uttar Pradesh election,,22
2018,Avengers: Infinity War,,22
2018,Kavanaugh Confirmation,7,22
2019,India election results,,22
2002,SpongeBob SquarePants,4,21
2003,California Earthquake,6,21
2003,Earthquake California,,21
2003,San Simeon Earthquake,,21
2006,Buffalo Sabres Jersey,,21
2006,Celebrity Big Brother,7,21
2006,TomKat Wedding Photos,6,21
2006,Cruise Holmes Wedding,4,21
2006,Define Administracion,,21
2007,Criss Angel (Rumored),,21
2007,Transformers Ringtone,,21
2007,Master Cleanse Recipe,,21
2008,Who is Jonas Brothers,,21
2009,Lesbian Film Festival,7,21
2010,Tudo Gostoso Receitas,,21
2012,Michael Clarke Duncan,,21
2012,Costa Concordia crash,,21
2013,Samsung Galaxy Note 3,,21
2014,Oscar Pistorius trial,,21
2014,Brazil vs Netherlands,,21
2014,Netherlands vs Mexico,,21
2014,Philae Robotic Lander,,21
2015,Samsung Galaxy Note 5,,21
2015,Eagles of Death Metal,,21
2015,Fear the Walking Dead,,21
2015,Indian Premier League,,21
2015,ICC Cricket World Cup,,21
2017,UEFA Champions League,,21
2017,Chicken breast recipe,,21
2017,The Kapil Sharma Show,,21
2017,How to play Powerball,6,21
2017,How to lose belly fat,6,21
2019,India vs South Africa,,21
2001,Operation Flashpoint,5,20
2004,Night Vision Goggles,5,20
2005,PlayStation Portable,6,20
2006,What is Carisoprodol,,20
2007,Bob Barker (Rumored),,20
2007,Avril Lavigne Lyrics,,20
2007,Lemonade Diet Recipe,,20
2009,Peanut Butter Recall,6,20
2009,MasterChef Australia,,20
2009,PGA Tour Leaderboard,,20
2010,McDonald's nutrition,6,20
2010,Vitamin D Deficiency,8,20
2010,Appendictis Symptoms,6,20
2011,Mayweather vs. Ortiz,6,20
2011,"Crazy, Stupid, Love.",,20
2014,Germany vs Argentina,,20
2014,Argentina vs Belgium,,20
2014,2014 Winter Olympics,10,20
2015,Fifty Shades of Grey,5,20
2015,Prem Ratan Dhan Payo,,20
2017,Beauty and the Beast,5,20
2017,Versace on the Floor,,20
2017,United Airlines Meme,,20
2017,Game of Thrones Meme,,20
2017,How to screen record,5,20
2018,Mega Millions Result,6,20
2019,The Umbrella Academy,,20
2001,Abercrombie & Fitch,6,19
2004,Portable DVD Player,8,19
2006,Where is Montenegro,6,19
2006,What is Hydrocodone,6,19
2007,The Office Ringtone,,19
2007,Crazy Frog Ringtone,,19
2007,High Pitch Ringtone,4,19
2007,Ultrasonic Ringtone,,19
2007,Spider Pig Ringtone,5,19
2008,Macaroni and Cheese,6,19
2008,What is Scientology,7,19
2009,Paranormal Activity,,19
2009,Festival Di Venezia,,19
2009,Coca Cola Zero Fest,,19
2009,Indian Economy 2009,,19
2010,Slumdog Millionaire,5,19
2011,Samsung Nexus Prime,,19
2011,Pacquiao Vs. Mosley,6,19
2011,Amy Winehouse Death,5,19
2012,Paranormal Activity,8,19
2012,Presidential Debate,6,19
2013,Government Shutdown,5,19
2013,2014 FIFA World Cup,9,19
2014,Germany vs Portugal,,19
2014,Matthew McConaughey,6,19
2018,Khabib Nurmagomedov,,19
2019,Bangladesh vs India,,19
2019,Fall of Berlin Wall,,19
2001,Planet of the Apes,5,18
2002,Neverwinter Nights,5,18
2002,Christina Aguilera,7,18
2003,Caltech Earthquake,4,18
2003,Recent Earthquakes,,18
2004,Mitsubishi Eclipse,6,18
2004,Little Black Dress,4,18
2004,Flat Panel Monitor,6,18
2006,Where is Villanova,7,18
2006,Where is Palestine,5,18
2006,What is Alprazolam,,18
2006,Define Promiscuous,6,18
2007,Triathlon Training,6,18
2007,Jamie Gold Lawsuit,,18
2007,McDonald's Lawsuit,,18
2007,Mediterranean Diet,8,18
2007,Ratatouille Recipe,7,18
2008,Who is Miley Cyrus,,18
2008,Who is Chris Brown,,18
2009,Natasha Richardson,,18
2009,Sonnenrot Festival,,18
2009,Nespresso Commande,,18
2009,Irish Economy 2009,,18
2009,Confederations Cup,5,18
2010,National City Bank,6,18
2010,Cricket Live Score,,18
2010,Donate to Pakistan,,18
2010,Download to Donate,,18
2011,Amazon Kindle Fire,7,18
2011,Buffalo Wild Wings,6,18
2011,Salvatore Parolisi,7,18
2011,Siegessaule Berlin,,18
2011,Elementary Schools,,18
2012,Southwest Airlines,4,18
2012,Carolina Dieckmann,,18
2012,Penn State Scandal,4,18
2014,Michael Schumacher,,18
2014,Scotish Referendum,,18
2014,iPhone 6 Bend Test,5,18
2015,Hurricane Patricia,6,18
2015,Big Brother Brazil,,18
2017,Chester Bennington,,18
2017,Las Vegas Shooting,5,18
2017,Ground beef recipe,,18
2017,Big Brother Brasil,5,18
2017,Millie Bobby Brown,5,18
2017,How to buy Bitcoin,5,18
2018,Sylvester Stallone,5,18
2018,Hurricane Florence,5,18
2001,Lord of the Rings,4,17
2001,New York Marathon,5,17
2001,Temptation Island,5,17
2001,Bed Bath & Beyond,5,17
2001,Internet Explorer,6,17
2003,Justin Timberlake,5,17
2004,Johnson & Johnson,5,17
2004,Digital Camcorder,6,17
2004,Blockbuster Video,6,17
